# Serialization Research: AnonymousFunction (random examples)
# Generated: 2026-02-11 02:25:00
# Total examples: 100

_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[] -8} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -8}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[xy] y} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] y}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[xy] y} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] y}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[] -6} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -6}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[] -4} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -4}\000"
_bd {[] -9} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -9}\000"
_bd {[] -8} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -8}\000"
_bd {[xy] y} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] y}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[] 5} → "\001\000\000\000\014\000\000\000\n\000\000\000\000{[] 5}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[] -3} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -3}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[] 8} → "\001\000\000\000\014\000\000\000\n\000\000\000\000{[] 8}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[] -1} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -1}\000"
_bd {[xy] y} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] y}\000"
_bd {[] -1} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[] -1}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"
_bd {[] 1} → "\001\000\000\000\014\000\000\000\n\000\000\000\000{[] 1}\000"
_bd {[xy] x} → "\001\000\000\000\020\000\000\000\n\000\000\000.k\000{[xy] x}\000"
_bd {[x] x} → "\001\000\000\000\r\000\000\000\n\000\000\000\000{[x] x}\000"

# Summary:
# Successful examples: 100
# Data type: AnonymousFunction
# Mode: Random generation
